,home_team_name,away_team_name,home_team_xG,away_team_xG,date
0,Sampdoria,Milan,1.67,1.17,2021-08-23 13:45:00
1,Hellas Verona,Inter,1.03,1.8,2021-08-27 13:45:00
2,Inter,Genoa,1.66,1.09,2021-08-21 11:30:00
3,Empoli,Lazio,1.61,1.69,2021-08-21 13:45:00
4,Torino,Atalanta,1.37,0.82,2021-08-21 13:45:00
5,Cagliari,Spezia,2.78,0.79,2021-08-23 11:30:00
6,Hellas Verona,Sassuolo,2.78,1.64,2021-08-21 11:30:00
7,Udinese,Venezia,2.64,1.31,2021-08-27 11:30:00
8,Milan,Cagliari,2.92,0.71,2021-08-29 13:45:00
9,Sassuolo,Sampdoria,1.86,0.81,2021-08-29 11:30:00
10,Udinese,Juventus,1.94,1.11,2021-08-22 11:30:00
11,Napoli,Venezia,2.39,0.69,2021-08-22 13:45:00
12,Bologna,Salernitana,1.65,1.55,2021-08-22 11:30:00
13,Genoa,Napoli,0.52,1.38,2021-08-29 11:30:00
14,Roma,Fiorentina,2.51,1.22,2021-08-22 13:45:00
15,Salernitana,Roma,0.36,2.41,2021-08-29 13:45:00
16,Fiorentina,Torino,0.87,0.38,2021-08-28 13:45:00
17,Bologna,Hellas Verona,1.42,0.35,2021-09-13 13:45:00
18,Lazio,Spezia,3.29,0.93,2021-08-28 11:30:00
19,Atalanta,Bologna,1.24,0.3,2021-08-28 11:30:00
20,Juventus,Empoli,1.65,0.78,2021-08-28 13:45:00
21,Sampdoria,Inter,1.19,1.21,2021-09-12 05:30:00
22,Cagliari,Genoa,1.5,1.19,2021-09-12 08:00:00
23,Empoli,Venezia,2.25,1.58,2021-09-11 08:00:00
24,Spezia,Udinese,1.46,0.85,2021-09-12 08:00:00
25,Torino,Salernitana,2.38,0.31,2021-09-12 08:00:00
26,Milan,Lazio,3.05,0.34,2021-09-12 11:00:00
27,Atalanta,Fiorentina,2.36,1.93,2021-09-11 13:45:00
28,Napoli,Juventus,2.35,1.16,2021-09-11 11:00:00
29,Roma,Sassuolo,2.03,1.87,2021-09-12 13:45:00
30,Sassuolo,Torino,0.89,2.36,2021-09-17 13:45:00
31,Bologna,Genoa,2.49,1.6,2021-09-21 11:30:00
32,Fiorentina,Inter,1.63,2.5,2021-09-21 13:45:00
33,Atalanta,Sassuolo,1.9,1.08,2021-09-21 13:45:00
34,Udinese,Napoli,0.31,3.26,2021-09-20 13:45:00
35,Salernitana,Hellas Verona,2.57,1.64,2021-09-22 11:30:00
36,Milan,Venezia,1.79,1.09,2021-09-22 13:45:00
37,Cagliari,Empoli,1.31,1.04,2021-09-22 13:45:00
38,Spezia,Juventus,0.92,2.52,2021-09-22 11:30:00
39,Torino,Lazio,1.09,0.98,2021-09-23 11:30:00
40,Empoli,Sampdoria,1.62,1.41,2021-09-19 05:30:00
41,Sampdoria,Napoli,0.84,2.04,2021-09-23 11:30:00
42,Venezia,Spezia,1.13,0.49,2021-09-19 08:00:00
43,Juventus,Milan,1.24,1.03,2021-09-19 13:45:00
44,Hellas Verona,Roma,1.03,0.95,2021-09-19 11:00:00
45,Lazio,Cagliari,2.29,1.61,2021-09-19 11:00:00
46,Roma,Udinese,1.72,0.8,2021-09-23 13:45:00
47,Spezia,Milan,1.09,1.61,2021-09-25 08:00:00
48,Genoa,Hellas Verona,1.72,2.18,2021-09-25 13:45:00
49,Inter,Atalanta,4.19,2.48,2021-09-25 11:00:00
50,Venezia,Torino,1.58,1.39,2021-09-27 13:45:00
51,Inter,Bologna,3.3,0.72,2021-09-18 11:00:00
52,Genoa,Fiorentina,1.13,1.28,2021-09-18 08:00:00
53,Salernitana,Atalanta,0.92,1.69,2021-09-18 13:45:00
54,Juventus,Sampdoria,2.92,0.53,2021-09-26 05:30:00
55,Udinese,Fiorentina,0.94,1.3,2021-09-26 08:00:00
56,Empoli,Bologna,2.15,3.03,2021-09-26 08:00:00
57,Salernitana,Genoa,0.69,1.82,2021-10-02 08:05:00
58,Napoli,Cagliari,1.88,0.2,2021-09-26 13:45:00
59,Cagliari,Venezia,0.59,0.85,2021-10-01 13:45:00
60,Sassuolo,Salernitana,1.44,1.11,2021-09-26 08:00:00
61,Lazio,Roma,2.31,2.79,2021-09-26 11:00:00
62,Torino,Juventus,1.1,1.11,2021-10-02 11:00:00
63,Hellas Verona,Spezia,0.67,1.89,2021-10-03 08:00:00
64,Fiorentina,Napoli,0.53,1.61,2021-10-03 11:05:00
65,Roma,Empoli,1.63,0.75,2021-10-03 11:00:00
66,Bologna,Lazio,0.71,0.63,2021-10-03 05:30:00
67,Sassuolo,Inter,1.68,2.45,2021-10-02 13:45:00
68,Sampdoria,Udinese,1.62,2.82,2021-10-03 08:00:00
69,Atalanta,Milan,2.43,2.55,2021-10-03 13:45:00
70,Spezia,Salernitana,1.65,1.77,2021-10-16 08:00:00
71,Lazio,Inter,2.72,1.58,2021-10-16 11:00:00
72,Sampdoria,Spezia,0.57,1.08,2021-10-22 13:45:00
73,Torino,Genoa,2.03,2.44,2021-10-22 11:35:00
74,Cagliari,Sampdoria,1.03,1.54,2021-10-17 05:30:00
75,Empoli,Atalanta,0.99,4.36,2021-10-17 08:00:00
76,Milan,Hellas Verona,1.88,1.84,2021-10-16 13:50:00
77,Venezia,Fiorentina,1.16,0.52,2021-10-18 13:45:00
78,Genoa,Sassuolo,1.65,2.38,2021-10-17 08:00:00
79,Udinese,Bologna,0.98,1.71,2021-10-17 08:00:00
80,Salernitana,Empoli,1.77,2.6,2021-10-23 08:00:00
81,Atalanta,Udinese,0.59,0.73,2021-10-24 05:30:00
82,Sassuolo,Venezia,1.81,0.92,2021-10-23 11:00:00
83,Juventus,Roma,1.17,1.91,2021-10-17 13:45:00
84,Napoli,Torino,1.62,1.12,2021-10-17 11:05:00
85,Fiorentina,Cagliari,3.11,0.22,2021-10-24 08:00:00
86,Bologna,Milan,0.77,1.19,2021-10-23 13:45:00
87,Hellas Verona,Lazio,2.44,1.2,2021-10-24 08:00:00
88,Roma,Napoli,1.5,1.15,2021-10-24 11:00:00
89,Milan,Torino,0.99,0.7,2021-10-26 13:45:00
90,Venezia,Salernitana,0.84,1.7,2021-10-26 11:30:00
91,Napoli,Bologna,2.73,0.32,2021-10-28 13:45:00
92,Inter,Juventus,0.85,2.03,2021-10-24 13:50:00
93,Juventus,Sassuolo,1.31,0.9,2021-10-27 11:30:00
94,Spezia,Genoa,1.79,1.24,2021-10-26 11:30:00
95,Udinese,Hellas Verona,1.46,0.96,2021-10-27 11:30:00
96,Sampdoria,Atalanta,1.51,1.65,2021-10-27 11:35:00
97,Lazio,Fiorentina,0.52,0.67,2021-10-27 13:45:00
98,Cagliari,Roma,0.89,2.83,2021-10-27 13:45:00
99,Atalanta,Lazio,1.29,1.77,2021-10-30 08:00:00
100,Hellas Verona,Juventus,1.66,1.35,2021-10-30 11:00:00
101,Empoli,Inter,0.52,1.92,2021-10-27 13:45:00
102,Torino,Sampdoria,2.79,0.29,2021-10-30 13:50:00
103,Bologna,Cagliari,1.29,0.69,2021-11-01 13:45:00
104,Inter,Udinese,2.15,0.51,2021-10-31 05:30:00
105,Genoa,Venezia,1.18,0.63,2021-10-31 08:00:00
106,Sassuolo,Empoli,1.26,1.73,2021-10-31 08:00:00
107,Salernitana,Napoli,0.47,2.01,2021-10-31 11:05:00
108,Fiorentina,Spezia,3.11,0.12,2021-10-31 08:05:00
109,Roma,Milan,1.74,1.86,2021-10-31 13:45:00
110,Empoli,Genoa,0.86,2.02,2021-11-05 13:45:00
111,Venezia,Roma,2.89,3.67,2021-11-07 05:30:00
112,Sampdoria,Bologna,1.18,1.46,2021-11-07 08:00:00
113,Udinese,Sassuolo,1.72,1.24,2021-11-07 08:00:00
114,Lazio,Salernitana,1.75,0.4,2021-11-07 11:00:00
115,Napoli,Hellas Verona,0.95,1.23,2021-11-07 11:00:00
116,Milan,Inter,1.26,2.8,2021-11-07 13:45:00
117,Spezia,Torino,0.45,0.55,2021-11-06 08:00:00
118,Cagliari,Atalanta,0.88,3.42,2021-11-06 13:45:00
119,Juventus,Fiorentina,0.87,0.64,2021-11-06 11:00:00
120,Atalanta,Spezia,3.1,0.98,2021-11-20 08:00:00
121,Hellas Verona,Empoli,1.65,1.71,2021-11-22 11:30:00
122,Lazio,Juventus,0.35,2.57,2021-11-20 11:00:00
123,Torino,Udinese,2.46,1.8,2021-11-22 13:45:00
124,Fiorentina,Milan,1.34,2.25,2021-11-20 13:45:00
125,Sassuolo,Cagliari,3.17,1.46,2021-11-21 05:30:00
126,Salernitana,Sampdoria,1.31,1.36,2021-11-21 08:00:00
127,Genoa,Roma,0.06,2.35,2021-11-21 13:45:00
128,Torino,Empoli,0.9,1.08,2021-12-02 11:30:00
129,Cagliari,Salernitana,1.98,0.38,2021-11-26 13:45:00
130,Inter,Napoli,2.29,0.95,2021-11-21 11:00:00
131,Lazio,Udinese,1.6,1.55,2021-12-02 13:45:00
132,Bologna,Venezia,2.04,0.93,2021-11-21 08:00:00
133,Spezia,Bologna,0.95,2.71,2021-11-28 08:05:00
134,Napoli,Lazio,1.15,0.45,2021-11-28 13:50:00
135,Milan,Sassuolo,1.07,1.48,2021-11-28 08:00:00
136,Udinese,Genoa,1.31,1.06,2021-11-28 05:30:00
137,Roma,Torino,1.02,1.09,2021-11-28 11:00:00
138,Atalanta,Venezia,2.31,0.75,2021-11-30 11:30:00
139,Fiorentina,Sampdoria,3.16,0.78,2021-11-30 11:35:00
140,Inter,Spezia,3.38,0.44,2021-12-01 11:30:00
141,Salernitana,Juventus,0.33,2.03,2021-11-30 13:45:00
142,Hellas Verona,Cagliari,1.46,0.8,2021-11-30 13:50:00
143,Sassuolo,Napoli,0.48,1.08,2021-12-01 13:45:00
144,Genoa,Milan,0.49,1.39,2021-12-01 13:45:00
145,Sampdoria,Hellas Verona,0.97,1.01,2021-11-27 08:00:00
146,Bologna,Roma,0.26,0.97,2021-12-01 11:30:00
147,Empoli,Fiorentina,2.21,2.62,2021-11-27 08:00:00
148,Venezia,Inter,0.23,3.38,2021-11-27 13:45:00
149,Milan,Salernitana,2.32,0.37,2021-12-04 08:00:00
150,Roma,Inter,0.88,1.37,2021-12-04 11:00:00
151,Juventus,Atalanta,1.01,0.62,2021-11-27 11:00:00
152,Spezia,Sassuolo,2.24,1.73,2021-12-05 08:00:00
153,Bologna,Fiorentina,0.59,1.33,2021-12-05 05:30:00
154,Napoli,Atalanta,1.6,2.21,2021-12-04 13:45:00
155,Genoa,Sampdoria,1.08,1.93,2021-12-10 13:45:00
156,Sampdoria,Lazio,1.76,0.93,2021-12-05 11:00:00
157,Juventus,Genoa,2.86,0.0,2021-12-05 13:45:00
158,Venezia,Hellas Verona,1.28,2.28,2021-12-05 08:00:00
159,Roma,Spezia,2.08,0.86,2021-12-13 13:45:00
160,Cagliari,Torino,1.5,1.41,2021-12-06 13:45:00
161,Empoli,Udinese,2.52,2.19,2021-12-06 11:30:00
162,Torino,Bologna,1.85,1.16,2021-12-12 05:30:00
163,Sassuolo,Lazio,1.13,0.71,2021-12-12 11:00:00
164,Hellas Verona,Atalanta,1.65,1.29,2021-12-12 08:00:00
165,Napoli,Empoli,2.57,0.78,2021-12-12 11:00:00
166,Inter,Cagliari,3.11,0.36,2021-12-12 13:45:00
167,Fiorentina,Salernitana,2.13,1.04,2021-12-11 08:00:00
168,Venezia,Juventus,0.55,2.42,2021-12-11 11:00:00
169,Udinese,Milan,1.99,0.93,2021-12-11 13:45:00
170,Cagliari,Udinese,0.36,0.65,2021-12-18 13:45:00
171,Lazio,Genoa,1.43,0.21,2021-12-17 11:30:00
172,Salernitana,Inter,0.77,3.57,2021-12-17 13:45:00
173,Genoa,Atalanta,0.05,1.2,2021-12-21 13:45:00
174,Sassuolo,Bologna,0.77,1.83,2021-12-22 09:30:00
175,Atalanta,Roma,1.55,1.84,2021-12-18 08:00:00
176,Juventus,Cagliari,1.58,0.87,2021-12-21 13:45:00
177,Bologna,Juventus,0.63,1.01,2021-12-18 11:00:00
178,Venezia,Lazio,0.92,1.13,2021-12-22 09:30:00
179,Hellas Verona,Fiorentina,0.63,1.0,2021-12-22 11:30:00
180,Inter,Torino,1.15,0.68,2021-12-22 11:30:00
181,Empoli,Milan,1.62,1.48,2021-12-22 13:45:00
182,Roma,Sampdoria,1.45,1.55,2021-12-22 11:30:00
183,Fiorentina,Sassuolo,3.8,1.2,2021-12-19 05:30:00
184,Sampdoria,Venezia,1.7,1.29,2021-12-19 11:00:00
185,Napoli,Spezia,2.4,0.58,2021-12-22 13:45:00
186,Spezia,Empoli,1.3,1.52,2021-12-19 08:00:00
187,Torino,Hellas Verona,0.87,0.55,2021-12-19 11:00:00
188,Milan,Napoli,0.57,1.0,2021-12-19 13:45:00
189,Sampdoria,Cagliari,0.48,2.05,2022-01-06 05:30:00
190,Lazio,Empoli,2.97,2.05,2022-01-06 07:30:00
191,Spezia,Hellas Verona,1.53,1.87,2022-01-06 07:30:00
192,Milan,Roma,3.27,0.76,2022-01-06 11:30:00
193,Sassuolo,Genoa,2.48,0.3,2022-01-06 09:30:00
194,Juventus,Napoli,1.63,1.05,2022-01-06 13:45:00
195,Venezia,Milan,0.53,3.6,2022-01-09 05:30:00
196,Napoli,Sampdoria,1.57,0.5,2022-01-09 09:30:00
197,Empoli,Sassuolo,1.43,4.2,2022-01-09 07:30:00
198,Udinese,Atalanta,0.92,3.53,2022-01-09 09:30:00
199,Genoa,Spezia,1.31,1.5,2022-01-09 11:30:00
200,Inter,Lazio,2.0,1.59,2022-01-09 13:45:00
201,Torino,Fiorentina,2.29,0.78,2022-01-10 10:00:00
202,Roma,Juventus,2.55,1.3,2022-01-09 11:30:00
203,Hellas Verona,Salernitana,1.61,1.18,2022-01-09 13:45:00
204,Roma,Cagliari,2.04,0.59,2022-01-16 11:00:00
205,Cagliari,Bologna,1.88,0.54,2022-01-11 13:45:00
206,Sassuolo,Hellas Verona,1.01,3.64,2022-01-16 05:30:00
207,Atalanta,Inter,2.13,1.74,2022-01-16 13:45:00
208,Venezia,Empoli,1.33,2.2,2022-01-16 08:00:00
209,Salernitana,Lazio,0.42,2.06,2022-01-15 11:00:00
210,Sampdoria,Torino,1.4,1.53,2022-01-15 08:00:00
211,Juventus,Udinese,1.27,0.9,2022-01-15 13:45:00
212,Milan,Spezia,3.06,1.52,2022-01-17 11:30:00
213,Bologna,Napoli,0.88,2.55,2022-01-17 11:30:00
214,Fiorentina,Genoa,3.54,0.16,2022-01-17 13:50:00
215,Hellas Verona,Bologna,2.12,0.61,2022-01-21 13:45:00
216,Genoa,Udinese,1.24,0.12,2022-01-22 08:00:00
217,Inter,Venezia,2.88,0.26,2022-01-22 11:05:00
218,Cagliari,Fiorentina,2.06,2.36,2022-01-23 05:30:00
219,Lazio,Atalanta,0.45,0.5,2022-01-22 13:45:00
220,Spezia,Sampdoria,0.38,0.42,2022-01-23 08:00:00
221,Napoli,Salernitana,4.54,0.22,2022-01-23 08:00:00
222,Torino,Sassuolo,2.77,0.87,2022-01-23 08:00:00
223,Milan,Juventus,0.94,0.46,2022-01-23 13:45:00
224,Empoli,Roma,1.16,3.04,2022-01-23 11:00:00
225,Salernitana,Spezia,0.56,2.17,2022-02-07 13:45:00
226,Atalanta,Cagliari,0.83,1.05,2022-02-06 05:30:00
227,Bologna,Empoli,0.85,1.6,2022-02-06 08:00:00
228,Sampdoria,Sassuolo,2.6,1.94,2022-02-06 08:00:00
229,Venezia,Napoli,0.38,2.13,2022-02-06 08:00:00
230,Udinese,Torino,1.48,0.41,2022-02-06 11:00:00
231,Roma,Genoa,1.71,0.66,2022-02-05 08:00:00
232,Fiorentina,Lazio,0.75,2.66,2022-02-05 13:50:00
233,Juventus,Hellas Verona,1.6,0.77,2022-02-06 13:45:00
234,Milan,Sampdoria,1.49,0.25,2022-02-13 05:30:00
235,Inter,Milan,1.17,1.46,2022-02-05 11:00:00
236,Genoa,Salernitana,2.14,1.01,2022-02-13 08:00:00
237,Hellas Verona,Udinese,1.15,1.39,2022-02-13 08:00:00
238,Empoli,Cagliari,0.93,1.48,2022-02-13 08:00:00
239,Atalanta,Juventus,2.86,0.88,2022-02-13 13:45:00
240,Sassuolo,Roma,1.24,2.36,2022-02-13 11:00:00
241,Juventus,Torino,0.76,0.78,2022-02-18 13:45:00
242,Spezia,Fiorentina,0.71,2.6,2022-02-14 13:45:00
243,Lazio,Bologna,2.25,1.02,2022-02-12 08:00:00
244,Torino,Venezia,1.06,0.43,2022-02-12 13:45:00
245,Napoli,Inter,1.98,0.68,2022-02-12 11:00:00
246,Sampdoria,Empoli,0.71,0.79,2022-02-19 08:00:00
247,Fiorentina,Atalanta,0.8,0.54,2022-02-20 05:30:00
248,Roma,Hellas Verona,0.74,0.63,2022-02-19 11:00:00
249,Salernitana,Milan,1.71,2.02,2022-02-19 13:45:00
250,Bologna,Spezia,2.27,0.48,2022-02-21 14:00:00
251,Cagliari,Napoli,2.09,1.23,2022-02-21 12:00:00
252,Venezia,Genoa,1.3,1.76,2022-02-20 08:00:00
253,Udinese,Lazio,1.96,1.74,2022-02-20 13:45:00
254,Inter,Sassuolo,3.3,1.52,2022-02-20 11:00:00
255,Milan,Udinese,0.79,1.42,2022-02-25 11:50:00
256,Atalanta,Sampdoria,2.11,0.41,2022-02-28 13:50:00
257,Salernitana,Bologna,1.5,0.64,2022-02-26 08:05:00
258,Genoa,Inter,0.94,2.05,2022-02-25 14:05:00
259,Empoli,Juventus,1.49,2.22,2022-02-26 11:05:00
260,Sassuolo,Fiorentina,1.89,2.37,2022-02-26 13:50:00
261,Torino,Cagliari,1.11,1.48,2022-02-27 05:35:00
262,Spezia,Roma,0.44,4.29,2022-02-27 11:05:00
263,Hellas Verona,Venezia,3.18,1.04,2022-02-27 08:05:00
264,Udinese,Sampdoria,2.43,1.2,2022-03-05 08:00:00
265,Roma,Atalanta,1.83,0.63,2022-03-05 11:00:00
266,Lazio,Napoli,1.28,1.31,2022-02-27 13:50:00
267,Inter,Salernitana,3.9,1.03,2022-03-04 13:45:00
268,Spezia,Cagliari,2.03,0.58,2022-03-12 08:00:00
269,Cagliari,Lazio,0.86,2.78,2022-03-05 13:45:00
270,Salernitana,Sassuolo,1.68,1.88,2022-03-12 08:00:00
271,Milan,Empoli,0.88,0.37,2022-03-12 13:45:00
272,Sampdoria,Juventus,1.78,1.48,2022-03-12 11:00:00
273,Genoa,Empoli,1.51,0.41,2022-03-06 05:30:00
274,Bologna,Torino,0.38,1.28,2022-03-06 08:05:00
275,Fiorentina,Hellas Verona,1.43,1.02,2022-03-06 08:05:00
276,Venezia,Sassuolo,2.77,3.81,2022-03-06 08:00:00
277,Juventus,Spezia,1.49,0.58,2022-03-06 11:00:00
278,Lazio,Venezia,1.6,0.56,2022-03-14 13:45:00
279,Napoli,Milan,0.41,1.27,2022-03-06 13:45:00
280,Hellas Verona,Napoli,0.68,1.56,2022-03-13 08:00:00
281,Udinese,Roma,0.87,1.34,2022-03-13 11:00:00
282,Fiorentina,Bologna,2.02,1.3,2022-03-13 05:30:00
283,Atalanta,Genoa,0.87,1.1,2022-03-13 11:00:00
284,Torino,Inter,1.66,2.59,2022-03-13 13:45:00
285,Venezia,Sampdoria,1.59,1.55,2022-03-20 05:30:00
286,Roma,Lazio,1.98,0.99,2022-03-20 11:00:00
287,Juventus,Salernitana,1.68,0.64,2022-03-20 08:00:00
288,Bologna,Atalanta,1.34,1.58,2022-03-20 13:45:00
289,Empoli,Hellas Verona,0.8,1.54,2022-03-20 08:00:00
290,Sassuolo,Spezia,2.35,0.44,2022-03-18 11:45:00
291,Genoa,Torino,0.61,0.96,2022-03-18 14:00:00
292,Inter,Fiorentina,1.41,1.9,2022-03-19 11:00:00
293,Spezia,Venezia,1.14,0.94,2022-04-02 07:00:00
294,Napoli,Udinese,1.29,0.64,2022-03-19 08:00:00
295,Cagliari,Milan,1.43,2.22,2022-03-19 13:45:00
296,Salernitana,Torino,1.17,1.69,2022-04-02 12:45:00
297,Lazio,Sassuolo,1.81,2.1,2022-04-02 10:00:00
298,Hellas Verona,Genoa,0.96,0.53,2022-04-04 11:30:00
299,Milan,Bologna,2.63,0.66,2022-04-04 13:45:00
300,Fiorentina,Empoli,1.94,0.2,2022-04-03 05:30:00
301,Sampdoria,Roma,0.59,0.99,2022-04-03 11:00:00
302,Udinese,Cagliari,4.59,0.54,2022-04-03 08:00:00
303,Atalanta,Napoli,1.75,1.42,2022-04-03 08:00:00
304,Bologna,Sampdoria,2.46,0.67,2022-04-11 13:45:00
305,Empoli,Spezia,1.33,1.21,2022-04-09 08:00:00
306,Inter,Hellas Verona,2.69,1.02,2022-04-09 11:00:00
307,Juventus,Inter,1.97,1.13,2022-04-03 13:50:00
308,Cagliari,Juventus,0.28,1.53,2022-04-09 13:45:00
309,Napoli,Fiorentina,1.25,0.82,2022-04-10 08:00:00
310,Venezia,Udinese,1.47,2.39,2022-04-10 08:00:00
311,Genoa,Lazio,0.93,1.65,2022-04-10 05:30:00
312,Sassuolo,Atalanta,1.44,1.78,2022-04-10 08:00:00
313,Roma,Salernitana,1.96,0.47,2022-04-10 11:00:00
314,Spezia,Inter,0.7,2.34,2022-04-15 12:00:00
315,Torino,Milan,1.11,0.8,2022-04-10 13:45:00
316,Milan,Genoa,1.55,0.41,2022-04-15 14:00:00
317,Cagliari,Sassuolo,1.76,0.34,2022-04-16 05:30:00
318,Sampdoria,Salernitana,0.85,0.56,2022-04-16 07:30:00
319,Fiorentina,Venezia,3.5,0.13,2022-04-16 09:30:00
320,Udinese,Empoli,0.99,2.09,2022-04-16 07:30:00
321,Juventus,Bologna,2.47,0.83,2022-04-16 11:30:00
322,Napoli,Roma,1.19,1.24,2022-04-18 12:00:00
323,Lazio,Torino,0.78,1.08,2022-04-16 13:45:00
324,Atalanta,Hellas Verona,1.36,3.05,2022-04-18 14:00:00
325,Sassuolo,Juventus,1.85,0.77,2022-04-25 13:45:00
326,Udinese,Salernitana,0.51,0.98,2022-04-20 11:45:00
327,Venezia,Atalanta,0.92,3.98,2022-04-23 08:00:00
328,Inter,Roma,1.62,0.97,2022-04-23 11:00:00
329,Hellas Verona,Sampdoria,1.56,1.0,2022-04-23 13:45:00
330,Salernitana,Fiorentina,1.01,1.01,2022-04-24 05:30:00
331,Bologna,Udinese,1.4,1.84,2022-04-24 08:00:00
332,Lazio,Milan,0.5,2.62,2022-04-24 13:45:00
333,Empoli,Napoli,1.82,1.5,2022-04-24 08:00:00
334,Torino,Spezia,2.55,1.15,2022-04-23 08:00:00
335,Bologna,Inter,1.36,2.53,2022-04-27 13:15:00
336,Atalanta,Torino,2.89,2.35,2022-04-27 13:15:00
337,Genoa,Cagliari,0.97,1.1,2022-04-24 11:00:00
338,Fiorentina,Udinese,2.85,3.33,2022-04-27 11:00:00
339,Sampdoria,Genoa,1.12,1.61,2022-04-30 11:00:00
340,Napoli,Sassuolo,3.08,1.53,2022-04-30 08:00:00
341,Cagliari,Hellas Verona,1.11,1.4,2022-04-30 08:00:00
342,Juventus,Venezia,2.18,0.6,2022-05-01 05:30:00
343,Empoli,Torino,0.7,2.63,2022-05-01 08:00:00
344,Roma,Bologna,1.12,1.37,2022-05-01 13:45:00
345,Atalanta,Salernitana,2.09,1.12,2022-05-02 13:45:00
346,Spezia,Lazio,1.35,3.26,2022-04-30 13:45:00
347,Salernitana,Venezia,2.62,1.43,2022-05-05 11:00:00
348,Milan,Fiorentina,1.56,0.95,2022-05-01 08:00:00
349,Udinese,Inter,1.11,2.18,2022-05-01 11:00:00
